Predefined word                                                                                                                                                                                                                                                   Match count
frowning                                                                                                                                                                                                                                                                   88
nicely                                                                                                                                                                                                                                                                     37
guarde                                                                                                                                                                                                                                                                     14
Quinceys                                                                                                                                                                                                                                                                    5
unavailable                                                                                                                                                                                                                                                                67
abrupt                                                                                                                                                                                                                                                                     47
costing                                                                                                                                                                                                                                                                     8
pidi                                                                                                                                                                                                                                                                       47
salary                                                                                                                                                                                                                                                                     58
pretend                                                                                                                                                                                                                                                                   104
pide                                                                                                                                                                                                                                                                       39
guards                                                                                                                                                                                                                                                                    154
Sure                                                                                                                                                                                                                                                                     1375
imperfect                                                                                                                                                                                                                                                                  30
ViceConsul                                                                                                                                                                                                                                                                  5
gloomy                                                                                                                                                                                                                                                                    125
coals                                                                                                                                                                                                                                                                      26
halyards                                                                                                                                                                                                                                                                    6
energy                                                                                                                                                                                                                                                                    168
deference                                                                                                                                                                                                                                                                  35
Nikta                                                                                                                                                                                                                                                                       4
Compton                                                                                                                                                                                                                                                                    30
spreading                                                                                                                                                                                                                                                                  48
compassionate                                                                                                                                                                                                                                                              25
Rascal                                                                                                                                                                                                                                                                     82
Promise                                                                                                                                                                                                                                                                   422
patronymic                                                                                                                                                                                                                                                                  1
Dieu                                                                                                                                                                                                                                                                       19
Madden                                                                                                                                                                                                                                                                     20
goin                                                                                                                                                                                                                                                                       37
ventaja                                                                                                                                                                                                                                                                    16
siempre                                                                                                                                                                                                                                                                   150
basilican                                                                                                                                                                                                                                                                   1
Abb                                                                                                                                                                                                                                                                        51
squatting                                                                                                                                                                                                                                                                  14
Friedrich                                                                                                                                                                                                                                                                  43
C                                                                                                                                                                                                                                                                         450
guardar                                                                                                                                                                                                                                                                    40
D                                                                                                                                                                                                                                                                         486
E                                                                                                                                                                                                                                                                         804
fearless                                                                                                                                                                                                                                                                   24
Rrpr                                                                                                                                                                                                                                                                        1
Hartspool                                                                                                                                                                                                                                                                  78
F                                                                                                                                                                                                                                                                         290
G                                                                                                                                                                                                                                                                          55
H                                                                                                                                                                                                                                                                          97
I                                                                                                                                                                                                                                                                       48247
J                                                                                                                                                                                                                                                                         298
turn                                                                                                                                                                                                                                                                      852
K                                                                                                                                                                                                                                                                          41
L                                                                                                                                                                                                                                                                        1420
M                                                                                                                                                                                                                                                                        1288
N                                                                                                                                                                                                                                                                         540
Screams                                                                                                                                                                                                                                                                    25
O                                                                                                                                                                                                                                                                        2111
P                                                                                                                                                                                                                                                                         436
gold                                                                                                                                                                                                                                                                      316
result                                                                                                                                                                                                                                                                    308
Q                                                                                                                                                                                                                                                                          36
R                                                                                                                                                                                                                                                                         241
pier                                                                                                                                                                                                                                                                       96
S                                                                                                                                                                                                                                                                        1542
pies                                                                                                                                                                                                                                                                      149
T                                                                                                                                                                                                                                                                         573
selfish                                                                                                                                                                                                                                                                    76
W                                                                                                                                                                                                                                                                         361
apoplexy                                                                                                                                                                                                                                                                   11
Breakdown                                                                                                                                                                                                                                                                   6
Y                                                                                                                                                                                                                                                                       19099
Vindose                                                                                                                                                                                                                                                                    32
Z                                                                                                                                                                                                                                                                         184
after                                                                                                                                                                                                                                                                    4639
flip                                                                                                                                                                                                                                                                       15
Hush                                                                                                                                                                                                                                                                       68
resume                                                                                                                                                                                                                                                                     36
a                                                                                                                                                                                                                                                                       90290
b                                                                                                                                                                                                                                                                         343
posture                                                                                                                                                                                                                                                                    46
Ach                                                                                                                                                                                                                                                                        27
weeping                                                                                                                                                                                                                                                                    77
neighbor                                                                                                                                                                                                                                                                   48
pido                                                                                                                                                                                                                                                                       15
